id,name,name_mm,code,country_id:id
mm_state_001,Kachin,ကချင်ပြည်နယ်,MMR001,base.mm
mm_state_002,Kayah,ကယားပြည်နယ်,MMR002,base.mm
mm_state_003,Kayin,ကရင်ပြည်နယ်,MMR003,base.mm
mm_state_004,Chin,ချင်းပြည်နယ်,MMR004,base.mm
mm_state_005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,base.mm
mm_state_006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006,base.mm
mm_state_007,Bago (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,base.mm
mm_state_008,Bago (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,base.mm
mm_state_009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009,base.mm
mm_state_010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010,base.mm
mm_state_011,Mon,မွန်ပြည်နယ်,MMR011,base.mm
mm_state_012,Rakhine,ရခိုင်ပြည်နယ်,MMR012,base.mm
mm_state_013,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MMR013,base.mm
mm_state_014,Shan (South),ရှမ်းပြည်နယ် (တောင်),MMR014,base.mm
mm_state_015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),MMR015,base.mm
mm_state_016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),MMR016,base.mm
mm_state_017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017,base.mm
mm_state_018,Nay Pyi Taw,နေပြည်တော်,MMR018,base.mm
